nSub,nARC,thARC,T_mean,T_SD
2.25 ,3.00 ,0.40 ,0.7411125694511120 ,0.0245634826324340 
2.25 ,3.00 ,0.60 ,0.6773945433042310 ,0.0248667022054377 
2.25 ,3.00 ,0.80 ,0.6501164952651740 ,0.0106468125927078 
2.25 ,3.00 ,1.00 ,0.6649407215642350 ,0.0270283913322520 
2.50 ,1.00 ,0.00 ,0.8163268349979550 ,0.0000007774129944 
2.50 ,1.00 ,0.20 ,0.8163262626444950 ,0.0000009772068747 
2.50 ,1.00 ,0.40 ,0.8163266883290270 ,0.0000006709350350 
2.50 ,1.00 ,0.60 ,0.8163268641966020 ,0.0000647095770310 
2.50 ,1.00 ,0.80 ,0.8163297722285790 ,0.0001424208536491 
2.50 ,1.00 ,1.00 ,0.8163556455758480 ,0.0001550343612775 
2.50 ,1.25 ,0.00 ,0.8163268350043680 ,0.0000007774138394 
2.50 ,1.25 ,0.20 ,0.8190505493746670 ,0.0008395520756113 
2.50 ,1.25 ,0.40 ,0.8270489016793810 ,0.0032326318366770 
2.50 ,1.25 ,0.60 ,0.8397787557129660 ,0.0068425722696697 
2.50 ,1.25 ,0.80 ,0.8563014560127580 ,0.0111406960663221 
2.50 ,1.25 ,1.00 ,0.8752769737392860 ,0.0151270758872788 
2.50 ,1.50 ,0.00 ,0.8163268349698480 ,0.0000007776481644 
2.50 ,1.50 ,0.20 ,0.8214888969607210 ,0.0015901265347481 
2.50 ,1.50 ,0.40 ,0.8365889306746190 ,0.0060805054708806 
2.50 ,1.50 ,0.60 ,0.8603733756315460 ,0.0127126356391403 
2.50 ,1.50 ,0.80 ,0.8904962881422620 ,0.0198025709122459 
2.50 ,1.50 ,1.00 ,0.9228731688258030 ,0.0254195443825943 
2.50 ,1.75 ,0.00 ,0.8163268349789340 ,0.0000007776492602 
2.50 ,1.75 ,0.20 ,0.8230971260260030 ,0.0020810305690925 
2.50 ,1.75 ,0.40 ,0.8426831921439700 ,0.0078154474342268 
2.50 ,1.75 ,0.60 ,0.8726184407477670 ,0.0158637996429893 
2.50 ,1.75 ,0.80 ,0.9084853513611760 ,0.0228739131973412 
2.50 ,1.75 ,1.00 ,0.9428743168065260 ,0.0254915499965926 
2.50 ,2.00 ,0.00 ,0.8163268350042000 ,0.0000007774138265 
2.50 ,2.00 ,0.20 ,0.8232432124107650 ,0.0021182919365460 
2.50 ,2.00 ,0.40 ,0.8428178965110340 ,0.0076819428687025 
2.50 ,2.00 ,0.60 ,0.8713692322760800 ,0.0143726436516900 
2.50 ,2.00 ,0.80 ,0.9021160552086160 ,0.0186314019044481 
2.50 ,2.00 ,1.00 ,0.9267379004039700 ,0.0163500348310852 
2.50 ,2.25 ,0.00 ,0.8163268349978270 ,0.0000007774129273 
